"","target"
"1","12171729"
"2","12171727"
"3","12171726"
"4","12171723"
"5","12171714"
"6","11342359"
"7","11001893"
"8","10773997"
"9","10589966"
"10","10568572"
"11","10482259"
"12","10417050"
"13","10390197"
"14","10350345"
"15","9845524"
"16","9779699"
"17","9502298"
"18","9235735"
"19","9215839"
"20","9195505"
"21","9250818"
"22","9193354"
"23","9049965"
"24","8707338"
"25","8611450"
"26","8722340"
"27","8671618"
"28","7488279"
"29","7575719"
"30","7575711"
"31","7632956"
"32","7655382"
"33","7531440"
"34","7920312"
"35","7922004"
"36","8324942"
"37","1391938"
"38","1356177"
"39","2667209"
"40","2480280"
"41","3106970"
"42","3260935"
"43","3584980"
"44","3138110"
"45","3096824"
"46","3529531"
"47","6438435"
"48","2904526"
"49","6349718"
"50","3980990"
"55","6390085"
"57","3513818"
"58","3540463"
"60","3655386"
"62","3332120"
"63","3127726"
"64","3500259"
"65","2451287"
"66","7879212"
"67","3713831"
"68","2562939"
"69","3614380"
"70","3528046"
"71","3387441"
"72","990273"
"73","8652811"
"75","8704678"
"79","16160950"
"80","12171730"
"84","12171725"
"86","12171722"
"87","12171721"
"88","12171720"
"90","12113137"
"91","12113127"
"92","12042050"
"93","11962789"
"94","11899778"
"95","11879313"
"96","11847424"
"97","11778765"
"98","11722986"
"99","11722982"
"100","11585011"
"101","11583062"
"102","11527007"
"103","11510560"
"104","11477365"
"105","11461662"
"106","11449871"
"107","11449628"
"108","11441256"
"109","11438820"
"110","11420384"
"111","11418459"
"112","11377483"
"113","11375079"
"114","11360116"
"116","11298593"
"117","11296131"
"118","11277178"
"119","11268323"
"120","11257744"
"121","11249458"
"122","11219009"
"123","11160771"
"124","11158184"
"125","11149212"
"126","11147488"
"127","11128816"
"128","11122838"
"129","11085457"
"130","11045999"
"131","11040273"
"132","11037855"
"133","11035276"
"134","11022631"
"135","11013436"
"137","10960874"
"138","10950363"
"139","10918407"
"140","10907481"
"141","10894353"
"142","10891435"
"143","10889906"
"144","10877047"
"145","10845940"
"146","10848438"
"147","10798754"
"148","10798751"
"149","10792280"
"151","10761013"
"152","10752996"
"153","10744652"
"154","10723585"
"155","10713664"
"156","21337085"
"157","10611109"
"159","10573085"
"161","10565991"
"162","10561025"
"163","10561018"
"164","10528911"
"165","10524207"
"166","10520035"
"167","10498590"
"168","10498594"
"169","10489036"
"171","10477459"
"172","10444204"
"174","10417047"
"176","10366506"
"178","10335520"
"179","10329437"
"180","10211898"
"181","10092828"
"182","10071037"
"183","10050661"
"184","9866817"
"186","9838682"
"187","9834254"
"188","9824507"
"189","9811544"
"190","9809379"
"192","9777606"
"193","9747629"
"194","9737590"
"195","9734890"
"196","9712499"
"197","9707017"
"198","9668276"
"199","9630324"
"200","9630323"
"201","9593475"
"202","9531622"
"203","9578307"
"204","9509982"
"206","9482528"
"207","9471061"
"208","9464849"
"209","9367397"
"210","9337063"
"211","9337053"
"212","9291477"
"214","9228156"
"216","9204983"
"217","9188478"
"218","9207420"
"221","9163593"
"222","9126378"
"224","9148769"
"225","9054677"
"226","9054672"
"227","9051241"
"228","9020367"
"229","8981930"
"230","9137963"
"232","8973608"
"233","8899185"
"234","8790160"
"235","8784367"
"236","8864469"
"237","8864449"
"238","9345418"
"239","8844262"
"240","8756101"
"241","8690051"
"242","8782148"
"243","8690449"
"244","8733715"
"245","8733704"
"247","8611731"
"249","8738190"
"253","8620297"
"254","8624684"
"255","9238651"
"256","8562410"
"257","8546734"
"258","8618827"
"259","9373346"
"260","8750280"
"261","8720080"
"262","8643100"
"263","7491698"
"264","8654681"
"265","8534657"
"267","7579421"
"268","22358555"
"269","8991975"
"270","7572995"
"274","9358610"
"275","7622867"
"276","7662637"
"277","7557898"
"278","7762066"
"280","7890742"
"281","7762819"
"282","7734348"
"283","7599563"
"284","7773229"
"286","7530212"
"287","22358746"
"288","8543073"
"289","7718516"
"290","7711666"
"291","7584499"
"292","7858503"
"293","7914262"
"295","8054913"
"296","8027367"
"297","8019459"
"298","7997943"
"300","8260716"
"301","8405234"
"302","8405223"
"303","8241978"
"304","8366859"
"305","7688956"
"306","7687895"
"307","8217808"
"308","8477804"
"309","8096935"
"311","7685389"
"312","8094189"
"313","8448560"
"314","8448531"
"315","8124250"
"316","1384718"
"319","1635559"
"320","1390211"
"321","1352921"
"322","1600413"
"323","1581219"
"324","1543952"
"325","1504665"
"326","1438436"
"327","1339322"
"328","1787497"
"329","1908152"
"330","1799264"
"331","1711975"
"332","1903536"
"333","2070132"
"334","1985691"
"335","27464246"
"336","2043872"
"337","1998598"
"338","1878698"
"339","1675214"
"340","1367214"
"341","2238056"
"342","2104246"
"343","2338131"
"344","2323363"
"345","2328322"
"346","2337682"
"347","2346286"
"348","2184907"
"349","2180151"
"350","2165283"
"351","2138367"
"352","27463993"
"353","27456733"
"354","2308978"
"355","1713884"
"356","2692692"
"357","2790337"
"359","2671531"
"360","2660360"
"361","2786388"
"362","2713487"
"363","2661437"
"364","2910352"
"365","2784335"
"368","2472335"
"370","3067007"
"371","2973413"
"372","3263310"
"373","3291930"
"374","3048491"
"375","3048490"
"376","3282358"
"377","2452479"
"378","3043753"
"379","3278419"
"380","3257510"
"381","3260131"
"382","3122385"
"383","3061978"
"384","3332190"
"386","3609184"
"387","3623632"
"388","2953090"
"389","3548798"
"390","3545877"
"391","2879121"
"392","3501389"
"393","3500899"
"394","3331647"
"395","3304736"
"396","2878268"
"397","2878219"
"398","3492041"
"399","3543275"
"400","3539172"
"401","3538379"
"402","3096200"
"403","3531347"
"409","2867383"
"411","3909387"
"412","3909385"
"413","3890929"
"414","3901694"
"415","3901693"
"416","6147548"
"419","13837954"
"420","13099277"
"421","4894426"
"422","4325096"
"423","1139039"
"424","1172191"
"425","766892"
"426","322854"
"427","350045"
"428","82836"
"429","505093"
"430","6157721"
"431","7427932"
"432","6969092"
"433","7237385"
"434","6173751"
"437","6482933"
"439","6377608"
"440","6609729"
"441","3871353"
"442","3529524"
"447","3296349"
"448","3317855"
"450","2901280"
"451","2901668"
"452","3050711"
"456","2833957"
"459","2667754"
"460","2784491"
"462","2297567"
"465","2099402"
"466","1714949"
"467","1904989"
"468","2024863"
"469","2070147"
"470","1715244"
"471","1742486"
"472","1370636"
"473","1354425"
"474","1498329"
"475","1644158"
"476","1406793"
"477","8099991"
"479","8499626"
"480","7687326"
"483","7686506"
"485","8353071"
"486","8400226"
"487","8211209"
"488","8228826"
"490","8450856"
"491","7680398"
"492","7692295"
"493","8235691"
"494","8485477"
"497","8057664"
"498","7506951"
"499","7524522"
"500","7989933"
"502","8197602"
"503","7525186"
"505","8069190"
"506","8049645"
"507","8120556"
"508","7809937"
"509","7540098"
"511","8587293"
"512","7879054"
"514","7579468"
"515","8588237"
"516","7584950"
"517","7536798"
"520","7771465"
"521","7596181"
"522","7723546"
"523","7781137"
"524","8528057"
"525","7666104"
"527","9552353"
"528","8751471"
"529","8962411"
"530","8962412"
"533","8977262"
"534","8630428"
"538","8971469"
"540","9172812"
"541","8546551"
"542","9238677"
"544","8641639"
"546","8970605"
"547","8918281"
"548","9355822"
"549","9324281"
"550","9414645"
"551","9351970"
"552","10851464"
"555","9250791"
"557","9177426"
"558","9145041"
"559","9192777"
"560","9178837"
"563","9209669"
"564","9122943"
"565","9108450"
"566","9048207"
"569","9053466"
"570","9471060"
"571","9402750"
"572","9760161"
"574","9779698"
"575","9779701"
"577","9708202"
"578","9685176"
"579","9685175"
"580","9704734"
"582","9482530"
"583","9482531"
"585","9446633"
"586","9516160"
"587","9721431"
"588","9691083"
"589","9746768"
"590","9758577"
"591","9694951"
"593","10235069"
"596","9573030"
"597","9603161"
"598","9694704"
"599","9694706"
"600","9845514"
"602","9808489"
"605","10541378"
"606","10551552"
"607","10556958"
"608","10561021"
"609","10589082"
"610","10561026"
"611","10577851"
"612","10430977"
"613","10442187"
"614","10515887"
"615","10482936"
"616","10439375"
"617","10512062"
"618","10190945"
"620","10516680"
"621","10543369"
"622","10458259"
"623","10408631"
"624","10371508"
"625","10371494"
"626","10354146"
"627","10188761"
"628","10561225"
"629","9973447"
"631","10498591"
"634","10613450"
"635","10855789"
"636","10352162"
"637","10352169"
"641","10221486"
"642","10573065"
"643","10411505"
"644","10438301"
"646","10199733"
"648","10905770"
"650","11147485"
"651","11049025"
"652","10963642"
"653","10877057"
"654","10894358"
"656","10735013"
"657","10607689"
"659","10844529"
"660","10878285"
"661","10721782"
"663","10691866"
"664","10792269"
"666","10828867"
"667","11486330"
"668","10779422"
"669","10891432"
"671","11200902"
"673","11049967"
"674","11258483"
"676","11114133"
"677","11071258"
"678","11707828"
"679","10805828"
"680","11114313"
"681","11114321"
"684","10820364"
"685","10942366"
"686","11023504"
"687","10665560"
"688","12171724"
"689","12171728"
"692","11920265"
"693","11553001"
"694","11516091"
"696","11566020"
"699","11167809"
"701","11230486"
"704","11520778"
"706","11769960"
"708","11304768"
"709","11304767"
"710","11435295"
"711","11535503"
"712","11588025"
"713","11685123"
"714","11773171"
"715","12685828"
"716","11807015"
"717","11792397"
"718","11895797"
"719","11807632"
"720","11986207"
"721","10071016"
"722","10545997"
"723","9593789"
"724","10458242"
"725","10214856"
"726","10221490"
"727","9704735"
"728","10093687"
"729","10350343"
"730","13875840"
"731","9310469"
"732","9488043"
"733","9827924"
"734","8683227"
"735","8616860"
"738","8896434"
"739","8943876"
"740","8932845"
"741","9238056"
"742","8676625"
"743","8605372"
"744","9000652"
"745","9336364"
"749","7907762"
"750","13936775"
"751","13391513"
